Name,Datum,Sterne,Reviews
Norbert Möhler,['Rezension aus Deutschland vom 15. Mai 2022'],5,"
Ich habe drei Wochen nach einbringen in unseren Miniteich gewartet - und war hin und weg.Das Wasser sauber, die Fische fühlen sich wohl und die Seerosen gedeihen.Das hat vorher keine Filteranlage geschafft.DANKE!
"
Carsten R aus S. ,['Rezension aus Deutschland vom 27. April 2022'],5,"
Kurz und knapp... es funktioniert! Wir haben einen ca. 2500 Liter Gartenteich und nach ein wenig Geduld (hatte ich am Anfang nicht) sieht man das perfekte Ergebnis.Um Fragen vorzubeugen... ca. 5-7 Tagen warten!
"
Paul,['Rezension aus Deutschland vom 28. September 2020'],5,"
Die Lieferung ging wie immer schnell, halt Amazon.Bevor die Entscheidung gefallen ist habe ich mich lange belesen.Und ich muss sagen dass war genau das richtige. Laut Hersteller beschrieb er das die UV Lampe totaler Käse ist. (Meine Worte)Und er hat voll Recht. Habe die UV Lampe einige Jahre benutzt. Null Effekt. Wasser grün und Wände immer Verschverschleimt.Wollte schon mein Teich entfernen.Kurz gesagt habe ich mich doch anders entschieden, und habe bei meinen Teich eine große GR gemacht.Ich habe es bis heute in keinster Weise bereut. Dank des Mittels.Das Wasser ist ungelogen Glas klar. Es ist ein Traum jeden Tag die Fische zu sehen. Kann ich nur jeden ans ❤️ legen der freute an sein Teich haben möchte. Und Mann muss nicht mehr sauber machen.Ich würde 100 Punkte geben.
"
heldenhaft,['Rezension aus Deutschland vom 20. Juli 2021'],5,"
Die Lieferung ging zügig von statten. Das Sparset ist schnell und kinderleicht anzuwenden. Bei genügend Sonneneinfall und Sauerstoffzufuhr wirkt das Mittel bereits mach 2 - 3 Tagen. Klare Kaufempfehlung.
"
Gegenhuber R.,['Rezension aus Deutschland vom 17. April 2020'],5,"
Ich habe mich heute sehr gewundert als plötzlich mein Telefon läutete und ein Mitarbeiter der Firma Weitz-Wasserwelt bei mir anrief um eine von mir gesendete Frage zu besprechen. Ich habe es noch nie erlebt dass eine Firma einen so tollen Support bietet. Zum Produkt kann ich leider noch im Moment nicht sagen da ich es erst jetzt angewendet habe, sobald ich näheres weiß werde ich mich melden.
"
Jens Gram,['Rezension aus Deutschland vom 22. Juli 2021'],5,"
Benutze den Artikel schon seit Jahren, klares Wasser keine Algen
"
reimmaschine,['Rezension aus Deutschland vom 30. Mai 2021'],5,"
Ichn nehme das Produkt nun immer Seit der Anwendung gibt es im Teich keine Faenalgen mehr.
"
Christiane F.,['Rezension aus Deutschland vom 7. Juni 2021'],3,"
Hat die ersten Tage geholfen, dann war das alte Problem wieder da
"
a.,['Rezension aus Deutschland vom 3. Juni 2021'],5,"
Algenkiller hat bei Anwendung nach Beschreibung sehr gut funktioniert.
"
elke,['Rezension aus Deutschland vom 1. Juli 2020'],5,"
Nachdem mein Nachbar, zwei Tage später dieses Produkt zu mir brachte, konnte ich es sofort einsetzen …… und ich muss sagen, etwas besseres habe ich bislang nicht gefunden.Den Fischen geht es gut 😊  werde es bei Bedarf wieder kaufen
"
