titel,features,beschreibung,user,reviews,bewertungen,reviewdates
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Dieter,"
Das Mittel beziehen wir schon viele Jahre. Unser Teich ist dadurch so gut wie Algenfrei.
",5,10. April 2021
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Peter Hofschweiger,"
Alles bestens !!
",5,18. Juni 2021
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Amazon Kunde,"
Wir haben die beiden Mittel gegen Grünalgenbefall für unseren neu angelegten Gartenteich bestellt. Da unser ""Kleingewässer"" (3x4m) komplett der Sonne ausgesetzt ist, war das Algenaufkommen mehr als störend. GrünesWasser, grüner Belag der Teichwanne. Wir haben dann die beiden Mittel nach Gebrauchsanweisung eingebracht,wobei die angegebeneTelefon-Hotline sehr hilfreich war. Nach nun etwa 3 Wochen ist unser Teich wieder klar!!!Ein vorhandener Springbrunnen hat u.U. sicherlich unterstützend mitgewirkt.Wie schon gesagt, ein ""Volltreffer"", daher ""höchste Punktzahl""...!!
",5,10. September 2018
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Florian B.,"
Hat super geklappt, Teich sieht toll aus.
",5,22. April 2021
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Amazon Kunde,"
Das Produkt kaufen wir jedes Jahr wieder
",5,9. März 2021
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Amazon Kunde,"
Hat zwar die Algen an den Umlaufenden Steinen gelöst aber das Wasser ist leider Dauerhaft grün geblieben
",3,25. September 2020
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Sabine Reinke,"
Produkt erfüllt den Erwartungen
",4,28. Juli 2019
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Svenja S.,"
Unser 10000 l Teich war trotz gründlicher Reinigung wieder trübe geworden.Nach Anwendung beider Produkte dauerte es aber noch 14 Tage und dann war der Teich glasklar und ist es bis heute noch.Sehr empfehlenswert!!!
",5,22. Juli 2019
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Ich,"
Macht genau was es soll.
",5,3. September 2020
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Kmetic A.,"
Die Algen wurden nicht entfernt.
",1,20. Oktober 2021
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Helmut Lindner,"
der Algenkiller hat sehr gut gewirkt. Allerdings hat die Wirkung sehr schnell nachgelassen (ca. 4 Wochen)und der Teich veralgt bereits wieder, obwohl dies angeblich nicht mehr passieren sollte, weil eine biologische Wirken aufgebaut wird.Für die kurze Dauer ist der finanzielle Aufwand zu hoch.
",4,13. August 2013
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Jendrik Nickel,"
Wasser wahr ratzfatz wieder klar und die Algen zack nach ca  1 woche kommplett weg
",5,18. Mai 2019
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Gloria,"
In meinem Koiteich hatte ich extrem Algenbewuchs. Vor ca. 14 Tagen wandte ich Algenkiller Protekt und Schlammkiller Kombi an. Die Algen sind fast alle verschwunden, wurden teilweise problemlos entfernt. Seit ca. 8 Tagen läuft die Pumpe tadellos. Vor der Anwendung musste ich jeden 2. Tag die Pumpe von Algen befreien. Die UV-lampe ist abgeschaltet. Kurz gesagt: ich kann diese Produkte nur empfehlen. Einfach topp.
",5,8. September 2022
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Blue,"
Der Teich war nach ein paar Tagen klar und sauber!
",5,17. Mai 2019
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Martin B.,"
Top Produkt! Keine Probleme mehr mit Algen....
",5,15. Juli 2019
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Isabelle G.,"
Hallo. Wir haben es genau wie beschrieben angewendet, leider ging das nach hinten los. Das Wasser sah einige Tage später noch schlimmer aus. Wir mussten das Wasser austauschen um unsere Fische und Pflanzen zu retten. Nicht empfehlenswert.
",1,8. Juli 2020
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Betty,"
Zur Reinigung meines Teiches
",5,31. März 2019
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Marion Brunold,"
Nützt perfekt.
",5,22. Mai 2019
        Weitz-Wasserwelt Algen im Teich! - TOP TEICHPFLEGE IM SPARSET (Sparset Faden-Algenkiller)       ,"     Schutz vor Bewuchs von Faden- und Schmieralgen   Hochwirksam gegen Faden- und Schmieralgen   Optimaler Oberflächenschutz im Teich   Erhöht den Sauerstoffgehalt   Tausendfach bewährt   
 Mehr Produktdetails anzeigen   ",,Birgit,"
bin sehr zufrieden mit Produkt und und der Lieferung.wer keine chemie möchte und Geduld hat würde ich es immer empfehlen,ich selber nehme es schon seit Jahren.
",5,9. Mai 2013
